3,1794
4,1795
5,1796
6,1797
7,1798
8,1799
10,1800
14,1801
15,1802
16,1803
17,1804
18,2388
22,1805
23,1806
24,1807
25,1808
26,2389
27,1809
28,1810
30,2390
33,2391
35,1811
36,2392
37,2393
38,1812
39,1813
41,1814
42,2394
43,2395
44,2396
45,1815
46,1816
49,1817
51,1818
52,2397
53,1819
54,1820
55,1821
56,1822
57,1823
59,2398
60,1824
61,1825
62,1826
63,1827
64,1828
65,1829
66,1830
67,1831
68,1832
69,1833
70,2399
71,2400
73,2401
74,1834
75,1835
76,1836
77,1837
78,1838
79,2402
80,2403
82,1839
83,1840
85,1841
86,1842
87,2404
88,1843
89,1844
90,1845
91,1846
92,1847
93,1848
94,1849
95,1850
96,1851
97,2405
98,1852
99,1853
100,1854
101,1855
102,1856
103,1857
104,1858
105,1859
106,1860
107,1861
108,1862
109,1863
110,1864
111,1865
112,1866
113,1867
114,1868
115,2406
116,1869
117,1870
118,1871
119,1872
120,1873
121,1874
122,1875
123,1876
124,1877
125,1878
126,1879
127,1880
128,1881
129,1882
131,1883
132,1884
133,1885
134,1886
135,1887
136,1888
137,1889
138,1890
143,1891
145,1892
146,1893
147,2407
150,2408
153,1894
154,2409
155,1895
156,1896
158,1897
159,2410
160,2411
161,2412
162,1898
163,1899
164,1900
165,1901
166,1902
169,1903
172,2413
173,1904
174,1905
175,1906
176,1907
177,1908
178,1909
179,1910
180,1911
181,1912
182,1913
183,1914
184,1915
185,1916
186,1917
187,1918
188,2414
189,2415
191,1919
192,1920
193,2416
194,1921
195,2417
196,2418
197,1922
198,1923
199,1924
200,1925
201,1926
202,1927
203,1928
204,1929
206,1930
207,1931
208,1932
209,1933
210,1934
211,1935
212,1936
213,1937
214,1938
215,1939
216,1940
217,1941
218,1942
219,1943
220,1944
221,1945
222,1946
223,1947
224,1948
225,1949
226,1950
227,1951
228,1952
229,2419
230,1953
231,1954
232,1955
233,1956
234,1957
235,1958
236,1959
237,1960
238,1961
239,1962
240,1963
241,1964
242,1965
243,1966
244,1967
245,1968
246,1969
247,1970
249,1971
250,1972
251,1973
252,1974
253,1975
254,1976
269,1977
270,1978
271,1979
272,1980
273,1981
275,1982
276,1983
277,1984
278,1985
279,1986
280,1987
281,1988
282,1989
283,1990
284,1991
285,1992
286,1993
287,1994
288,1995
289,1996
290,1997
291,1998
292,1999
293,2000
294,2001
295,2002
296,2003
